List Price,Address,,,City,Tax ID,,,,,,,,,,Yr Built,,,,,,,,,SF Total,SF Up+Mn,SF Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O/Price,Close Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415000,7007 N SMITH ST,,,Portland,R151685,,,,,,,,,,2004,,,,,,,,,1342,1342,Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475000,7132 N PORTSMOUTH AVE,,,Portland,R291801,,,,,,,,,,1925,,,,,,,,,2122,1394,verify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399950,580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259000,8833 N SYRACUSE ST,,,Portland,R603075,,,,,,,,,,1969,,,,,,,,,787,787,RMLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259000,268100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359900,6836 N ARMOUR ST,,,Portland,R151334,,,,,,,,,,1940,,,,,,,,,975,975,Tax Record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429000,359900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449000,7815 N HUDSON ST,,,Portland,R245409,,,,,,,,,,1962,,,,,,,,,888,888,tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,449000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329900,7480 N Oswego AVE,,,Portland,Not Found,,,,,,,,,,2022,,,,,,,,,874,874,Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379900,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499950,8975 N DRUMMOND AVE,,,Portland,R241928,,,,,,,,,,2022,,,,,,,,,1594,1594,Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559950,489000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399000,9426 N BUCHANAN AVE,,,Portland,R245640,,,,,,,,,,1926,,,,,,,,,1560,780,TRIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525000,411800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359900,7474 N Oswego AVE,,,Portland,Not Found,,,,,,,,,,2022,,,,,,,,,898,898,Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389900,369000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422900,9623 N HAVEN AVE,,,Portland,R547560,,,,,,,,,,2006,,,,,,,,,1488,1488,Assessor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,419900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425000,6936 N RICHARDS ST,,,Portland,R151268,,,,,,,,,,1994,,,,,,,,,1008,1008,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429000,8124 N PORTSMOUTH AVE,,,Portland,R248893,,,,,,,,,,1894,,,,,,,,,1410,1244,appraisal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390000,7029 N WALL AVE,,,Portland,R165657,,,,,,,,,,1945,,,,,,,,,748,748,Trio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390000,446000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489900,9742 N HODGE AVE,,,Portland,R137503,,,,,,,,,,0,,,,,,,,,1631,1631,Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489900,430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460000,8043 N HURST AVE,,,Portland,R496040,,,,,,,,,,2001,,,,,,,,,1674,1674,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460000,460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
